#Al mole fraction	$Vac_{Al_1}$	$Vac_{Al_2}$	$Vac_{V}$	$V_{Al_1}$	$V_{Al_2}$	$Al_{V}$
0.74	1.51390934383e-08	1.33210553866e-09	1.09479341551e-10	0.0382758762412	0.00136834858015	4.1756811232e-15
0.740166666667	1.5073062116e-08	1.32629536974e-09	1.10848688554e-10	0.0376381595133	0.00134555044031	4.24643117414e-15
0.740333333333	1.5006240851e-08	1.32041569289e-09	1.12259350617e-10	0.0370004355137	0.00132275204051	4.31962088216e-15
0.7405	1.49386053981e-08	1.31446437475e-09	1.13713317763e-10	0.0363627042424	0.00129995338074	4.3953786503e-15
0.740666666667	1.48701303312e-08	1.30843917805e-09	1.15212713018e-10	0.0357249656991	0.00127715446101	4.47384205321e-15
0.740833333333	1.4800788964e-08	1.30233775463e-09	1.16759803869e-10	0.0350872198839	0.0012543552813	4.55515867097e-15
0.741	1.47305532633e-08	1.29615763781e-09	1.18357014949e-10	0.0344494667965	0.00123155584162	4.63948701553e-15
0.741166666667	1.46593937545e-08	1.2898962341e-09	1.20006942089e-10	0.0338117064368	0.00120875614196	4.72699756201e-15
0.741333333333	1.45872794188e-08	1.28355081412e-09	1.21712367919e-10	0.0331739388048	0.00118595618231	4.81787389898e-15
0.7415	1.45141775811e-08	1.27711850275e-09	1.23476279231e-10	0.0325361639003	0.00116315596268	4.91231401415e-15
0.741666666667	1.4440053787e-08	1.2705962683e-09	1.25301886326e-10	0.0318983817233	0.00114035548305	5.01053173421e-15
0.741833333333	1.4364871668e-08	1.26398091069e-09	1.27192644631e-10	0.0312605922735	0.00111755474343	5.11275834111e-15
0.742	1.42885927941e-08	1.25726904839e-09	1.29152278896e-10	0.0306227955509	0.0010947537438	5.21924439029e-15
0.742166666667	1.42111765109e-08	1.2504571042e-09	1.3118481035e-10	0.0299849915554	0.00107195248417	5.33026176108e-15
0.742333333333	1.41325797606e-08	1.2435412894e-09	1.3329458723e-10	0.0293471802869	0.00104915096454	5.44610597447e-15
0.7425	1.40527568843e-08	1.23651758643e-09	1.35486319218e-10	0.0287093617452	0.00102634918489	5.56709881998e-15
0.742666666667	1.39716594031e-08	1.22938172956e-09	1.3776511635e-10	0.0280715359303	0.00100354714523	5.69359134075e-15
0.742833333333	1.38892357754e-08	1.22212918359e-09	1.40136533127e-10	0.027433702842	0.000980744845542	5.82596723507e-15
0.743	1.38054311268e-08	1.21475512009e-09	1.42606618635e-10	0.0267958624803	0.000957942285835	5.96464674395e-15
0.743166666667	1.37201869503e-08	1.20725439092e-09	1.45181973686e-10	0.026158014845	0.0009351394661	6.1100911075e-15
0.743333333333	1.36334407698e-08	1.19962149876e-09	1.47869816141e-10	0.025520159936	0.000912336386335	6.26280768988e-15
0.7435	1.35451257641e-08	1.19185056396e-09	1.50678055836e-10	0.0248822977533	0.000889533046535	6.42335589256e-15
0.743666666667	1.34551703452e-08	1.18393528737e-09	1.53615380814e-10	0.0242444282967	0.000866729446698	6.59235400143e-15
0.743833333333	1.33634976818e-08	1.17586890856e-09	1.56691356908e-10	0.0236065515662	0.000843925586819	6.77048714405e-15
0.744	1.32700251626e-08	1.16764415843e-09	1.59916543186e-10	0.0229686675616	0.000821121466895	6.95851657331e-15
0.744166666667	1.31746637863e-08	1.1592532057e-09	1.63302626287e-10	0.0223307762829	0.000798317086924	7.15729054242e-15
