#Al mole fraction	Al	V
0.74	-4.16519525021	-8.98440323346
0.740166666667	-4.16481857086	-8.98547438815
0.740333333333	-4.16443570162	-8.98656411185
0.7405	-4.16404642717	-8.98767305049
0.740666666667	-4.16365052078	-8.98880188429
0.740833333333	-4.16324774344	-8.98995133026
0.741	-4.16283784299	-8.99112214489
0.741166666667	-4.16242055314	-8.99231512707
0.741333333333	-4.16199559235	-8.99353112137
0.7415	-4.16156266271	-8.99477102154
0.741666666667	-4.16112144861	-8.99603577446
0.741833333333	-4.16067161527	-8.99732638439
0.742	-4.16021280725	-8.9986439177
0.742166666667	-4.15974464663	-8.99998950815
0.742333333333	-4.15926673111	-9.00136436263
0.7425	-4.15877863185	-9.00276976765
0.742666666667	-4.15827989111	-9.00420709643
0.742833333333	-4.15777001957	-9.00567781693
0.743	-4.15724849337	-9.00718350075
0.743166666667	-4.15671475077	-9.00872583311
0.743333333333	-4.1561681884	-9.0103066241
0.7435	-4.15560815707	-9.01192782129
0.743666666667	-4.15503395699	-9.01359152408
0.743833333333	-4.15444483236	-9.01529999982
0.744	-4.15383996527	-9.01705570229
0.744166666667	-4.15321846865	-9.01886129267
0.744333333333	-4.15257937828	-9.02071966361
0.7445	-4.15192164358	-9.02263396689
0.744666666667	-4.15124411695	-9.0246076453
0.744833333333	-4.15054554146	-9.02664446961
0.745	-4.1498245365	-9.02874858164
0.745166666667	-4.14907958103	-9.03092454454
0.745333333333	-4.14830899382	-9.03317740199
0.7455	-4.14751091016	-9.03551274812
0.745666666667	-4.14668325414	-9.03793681065
0.745833333333	-4.14582370552	-9.04045655032
0.746	-4.14492965979	-9.04307978064
0.746166666667	-4.14399817976	-9.04581531318
0.746333333333	-4.14302593638	-9.0486731351
0.7465	-4.14200913576	-9.05166462807
0.746666666667	-4.1409434284	-9.05480284058
0.746833333333	-4.1398237951	-9.05810283026
0.747	-4.13864440199	-9.06158209869
0.747166666667	-4.13739841411	-9.06526115076
0.747333333333	-4.13607775237	-9.06916422372
0.7475	-4.13467277201	-9.07332025187
0.747666666667	-4.13317182992	-9.07776416457
0.747833333333	-4.13156069131	-9.08253866612
0.748	-4.12982169853	-9.08769672953
0.748166666667	-4.12793257718	-9.09330517797
0.748333333333	-4.12586467175	-9.09944997797
0.7485	-4.12358024837	-9.10624433116
0.748666666667	-4.12102820227	-9.11384155182
0.748833333333	-4.11813688383	-9.12245658884
0.749	-4.11480135697	-9.13240425047
0.749166666667	-4.11085893525	-9.14417259598
0.749333333333	-4.10603707148	-9.15857926696
0.7495	-4.09982483292	-9.17715706167
0.749666666667	-4.09107515692	-9.20334716801
0.749833333333	-4.07612786914	-9.24813010911
0.750166666818	-3.70734534102	-10.3544951558
0.750333333333	-3.68754252583	-10.4139798542
0.7505	-3.6759802607	-10.448742815
0.750666666667	-3.6677902565	-10.4733889195
0.750833333333	-3.6614474047	-10.4924935008
0.751	-3.65627257036	-10.5080939687
0.751166666667	-3.65190356584	-10.5212768896
0.751333333333	-3.64812424077	-10.5326907173
0.751500000001	-3.64479519874	-10.5427536431
0.751666666667	-3.64182127638	-10.5517511588
0.751833333333	-3.63913460771	-10.5598868637
0.752	-3.63668509002	-10.5673110673
0.752166666667	-3.63443467974	-10.5741379011
0.752333333333	-3.63235380868	-10.5804560708
0.7525	-3.63041903985	-10.5863358881
0.752666666667	-3.62861148158	-10.5918340287
0.752833333333	-3.62691568339	-10.5969968447
0.753	-3.6253188479	-10.6018627288
0.753166666667	-3.62381025628	-10.6064638381
0.753333333333	-3.62238084115	-10.6108273752
0.7535	-3.62102286396	-10.6149765562
0.753666666667	-3.61972966735	-10.6189313535
0.753833333333	-3.61849548276	-10.6227090733
0.754	-3.61731527893	-10.6263248097
0.754166666667	-3.6161846414	-10.6297918065
0.754333333333	-3.61509967564	-10.6331217474
0.7545	-3.61405692852	-10.6363249923
0.754666666667	-3.61305332401	-10.6394107694
0.754833333333	-3.61208611023	-10.6423873347
0.755	-3.61115281543	-10.6452621038
0.755166666667	-3.61025121123	-10.6480417619
0.755333333333	-3.60937928171	-10.6507323571
0.7555	-3.60853519721	-10.6533393786
0.755666666667	-3.60771729209	-10.6558678234
0.755833333333	-3.60692404567	-10.6583222539
0.756	-3.60615406592	-10.6607068464
0.756166666667	-3.60540607534	-10.6630254334
0.756333333333	-3.60467889873	-10.6652815408
0.7565	-3.60397145252	-10.6674784195
0.756666666667	-3.60328273556	-10.6696190731
0.756833333333	-3.60261182089	-10.6717062826
0.757	-3.60195784866	-10.6737426277
0.757166666667	-3.60132001975	-10.675730506
0.757333333333	-3.60069759021	-10.6776721494
0.7575	-3.60008986629	-10.6795696393
0.757666666667	-3.59949620002	-10.6814249198
0.757833333333	-3.5989159853	-10.6832398092
0.758	-3.59834865432	-10.6850160112
0.758166666667	-3.59779367444	-10.6867551238
0.758333333333	-3.59725054533	-10.6884586482
0.7585	-3.5967187964	-10.6901279961
0.758666666667	-3.59619798451	-10.6917644971
0.758833333333	-3.59568769188	-10.6933694047
0.759	-3.59518752415	-10.6949439021
0.759166666667	-3.59469710871	-10.6964891071
0.759333333333	-3.59421609312	-10.6980060773
0.7595	-3.59374414364	-10.699495814
0.759666666667	-3.593280944	-10.700959266
0.759833333333	-3.59282619412	-10.7023973336
0.76	-3.59237960911	-10.7038108718
